[2026-03-12 04:33:31] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ359Y-YC5J7Z","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":99,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:33] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ36OA-2WEDAG","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":121,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:33] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ378S-2MJ2SZ","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":138,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:34] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ37AQ-1E7QXC","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":112,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:35] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ37LA-8R51ZY","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":225,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:35] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ38ME-R32NFY","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":134,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:36] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ398B-T4K4RW","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":142,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:38] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3ASE-ZHT100","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":113,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:38] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3BBQ-KMM4HQ","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":110,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:40] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3C0S-853E4K","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":149,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:40] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3CM4-ZKBS2K","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":157,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:41] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3CU9-FFFWGW","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":116,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:42] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3CZA-S3AAW2","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":251,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:43] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3E7C-N2GBV0","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":115,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:43] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3ESD-E8P99H","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":130,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:45] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3FQX-B6WFB3","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":141,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:45] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3GBU-ZPJ32X","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":181,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:46] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3GCE-KE3VXJ","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":117,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:46] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3GPD-VHAGEV","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":142,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:47] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3GQY-6A7MSR","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":161,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:48] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3I5A-ZF5ZPG","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":125,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:33:48] local.INFO: api_request {"request_id":"MMMZ1KQI-835P3V-MMMZ3IT9-JY7YN2","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":139,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:35:41] local.INFO: api_request {"request_id":"MMMZ5XJ8-91NMBY-MMMZ5XJ9-G8DYCT","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":152,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:35:44] local.INFO: api_request {"request_id":"MMMZ5XJ8-91NMBY-MMMZ5ZXX-E7BTX5","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":136,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:35:45] local.INFO: api_request {"request_id":"MMMZ5XJ8-91NMBY-MMMZ5ZXX-QME7EZ","method":"GET","path":"api/v1/dashboard/summary","status":200,"duration_ms":154,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-12 04:35:45] local.INFO: api_request {"request_id":"MMMZ5XJ8-91NMBY-MMMZ60NM-51N8F8","method":"GET","path":"api/v1/dashboard/summary","status":200,"duration_ms":160,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
