[2026-03-19 07:46:04] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX61P2R-CTJ3MV","method":"GET","path":"api/v1/products","status":200,"duration_ms":312,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:46:05] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX61P2S-5YW486","method":"GET","path":"api/v1/pos/discounts","status":200,"duration_ms":97,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:46:05] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX61P2S-D4CY8M","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":136,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:46:05] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX61P2S-RYAVJG","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":97,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:48:41] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX653HH-MGNAP8","method":"GET","path":"api/v1/outlet","status":200,"duration_ms":129,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:48:43] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX6549H-Q10VNN","method":"GET","path":"api/v1/categories","status":200,"duration_ms":161,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:48:44] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX6549H-5NKNA9","method":"GET","path":"api/v1/products","status":200,"duration_ms":335,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:48:44] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX6549H-DV6EB0","method":"GET","path":"api/v1/pos/discounts","status":200,"duration_ms":88,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:48:45] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX6549H-P0QDGJ","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":119,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:48:45] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX6549H-BJ9DMH","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":93,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
