[2026-03-15 08:36:08] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRI2PCV-9RBXA7","method":"GET","path":"api/v1/user-management/overview","status":200,"duration_ms":408,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 08:57:05] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRITJVU-YXGPAJ","method":"POST","path":"api/v1/auth/logout","status":200,"duration_ms":2768,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 08:57:06] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRITLS7-22EGSS","method":"POST","path":"api/v1/auth/logout","status":401,"duration_ms":72,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-15 08:57:06] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRITLXN-EFWAX8","method":"POST","path":"api/v1/auth/logout","status":401,"duration_ms":58,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-15 08:57:21] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRITX55-Y3PDX5","method":"POST","path":"api/v1/auth/login","status":200,"duration_ms":2966,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-15 08:57:23] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRIU1A9-T2BRB0","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":313,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 08:57:27] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRIU4DV-GVBAK1","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":114,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 08:57:29] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRIU59A-TXZDGH","method":"GET","path":"api/v1/user-management/overview","status":200,"duration_ms":640,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 08:57:58] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRIURCR-J1T3CJ","method":"PUT","path":"api/v1/user-management/portal-permissions/bulk","status":500,"duration_ms":817,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 08:58:08] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRIV08R-DDKE1Q","method":"PUT","path":"api/v1/user-management/portal-permissions","status":500,"duration_ms":146,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:02:10] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ06L1-XNNKJK","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":163,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:02:11] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ06L1-1T1MA7","method":"GET","path":"api/v1/user-management/overview","status":200,"duration_ms":394,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:02:21] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ0FMT-Z1BCY1","method":"PUT","path":"api/v1/user-management/portal-permissions/bulk","status":500,"duration_ms":393,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:02:29] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ0LNZ-E735GH","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":144,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:02:30] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ0MCS-RASF79","method":"GET","path":"api/v1/user-management/overview","status":200,"duration_ms":414,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:02:43] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ0W6U-139GG6","method":"PUT","path":"api/v1/user-management/portal-permissions","status":500,"duration_ms":425,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:05:03] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ3W07-FSH4SF","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":129,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:05:03] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ3W07-QXMWWF","method":"GET","path":"api/v1/user-management/overview","status":200,"duration_ms":398,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:05:14] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ44YV-9TAF37","method":"PUT","path":"api/v1/user-management/portal-permissions","status":200,"duration_ms":731,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:05:22] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ4B92-8AFWM3","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":146,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:05:23] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ4C48-VY753Z","method":"GET","path":"api/v1/user-management/overview","status":200,"duration_ms":371,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:05:42] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ4PVT-E76XJV","method":"PUT","path":"api/v1/user-management/portal-permissions","status":200,"duration_ms":656,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:06:00] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ5475-FMBJ56","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":141,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:06:01] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ54WL-DS634T","method":"GET","path":"api/v1/user-management/overview","status":200,"duration_ms":390,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-15 09:06:09] local.INFO: api_request {"request_id":"MMRHZBTF-6N0G6T-MMRJ5AFL-RHMT05","method":"PUT","path":"api/v1/user-management/menu-permissions","status":200,"duration_ms":648,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
