[2026-03-17 23:57:24] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9V5SZ-C4EDJF","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":141,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:57:42] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9VJMM-ADGEK8","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":155,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:57:42] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9VJMM-HDH5H3","method":"GET","path":"api/v1/dashboard/summary","status":200,"duration_ms":260,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:57:43] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9VKPV-5K22AC","method":"GET","path":"api/v1/cancel-requests","status":200,"duration_ms":161,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:57:44] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9VL70-A4SAF9","method":"GET","path":"api/v1/reports/marking-setting","status":500,"duration_ms":165,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:57:45] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9VM4U-DAS3Q1","method":"GET","path":"api/v1/reports/ledger","status":500,"duration_ms":190,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:58:20] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9WCY1-537EKN","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":162,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:58:20] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9WCY1-K9QCG6","method":"GET","path":"api/v1/reports/marking-setting","status":200,"duration_ms":148,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:58:21] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9WE0C-968BRS","method":"GET","path":"api/v1/reports/ledger","status":200,"duration_ms":181,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:58:26] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9WI2K-ETRSQH","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":138,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:21] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XONW-7WXC2M","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":226,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:22] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XONW-EKCVYZ","method":"GET","path":"api/v1/inventory/uoms/options","status":200,"duration_ms":449,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:26] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XQ31-W36ZFG","method":"GET","path":"api/v1/inventory/ingredients","status":200,"duration_ms":730,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:29] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XPZB-3VZNF2","method":"GET","path":"api/v1/inventory/stock/catalogs","status":200,"duration_ms":326,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:31] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XSC6-Q9CFS0","method":"GET","path":"api/v1/inventory/stock/catalogs","status":200,"duration_ms":576,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:33] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XST1-CANG8Z","method":"GET","path":"api/v1/inventory/boms/catalog","status":200,"duration_ms":344,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:34] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XQXS-0Y3MCJ","method":"GET","path":"api/v1/inventory/stock/catalogs","status":200,"duration_ms":321,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:37] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XUTF-B05Z81","method":"GET","path":"api/v1/inventory/stock/movements","status":200,"duration_ms":621,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:38] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XV4X-FPWSPK","method":"GET","path":"api/v1/inventory/uoms","status":200,"duration_ms":293,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:43] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XZ0D-HN5MC0","method":"GET","path":"api/v1/inventory/uoms/options","status":200,"duration_ms":547,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:45] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XWNI-Q4DYRV","method":"GET","path":"api/v1/inventory/stock/summary","status":200,"duration_ms":371,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:46] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XWNI-9CR2V4","method":"GET","path":"api/v1/inventory/stock/batches","status":200,"duration_ms":372,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:47] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XWYR-GARGJE","method":"GET","path":"api/v1/inventory/uoms","status":200,"duration_ms":331,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:48] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XY8E-SP5T3X","method":"GET","path":"api/v1/inventory/boms","status":200,"duration_ms":473,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:49] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9Y4WX-3SB5M4","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":230,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:50] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9Y4WX-79GF22","method":"GET","path":"api/v1/inventory/uoms/options","status":200,"duration_ms":305,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:51] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9Y6B6-T0BNPD","method":"GET","path":"api/v1/inventory/ingredients","status":200,"duration_ms":215,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:51] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XYUI-06D48Z","method":"GET","path":"api/v1/inventory/stock/summary","status":200,"duration_ms":324,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:53] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9XYUI-MV2WGK","method":"GET","path":"api/v1/inventory/stock/batches","status":200,"duration_ms":557,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:54] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9Y2NE-A1PMDJ","method":"GET","path":"api/v1/inventory/uoms","status":200,"duration_ms":273,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:55] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9Y7CC-KVD0YK","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":201,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:56] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9YB6N-94SGPZ","method":"GET","path":"api/v1/inventory/ingredients","status":200,"duration_ms":432,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:59:59] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9YHLV-24D8JC","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":212,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
